group,choice,freq,dist,timesp,price,drink,privr
graduate,1,3,5,3,12,1,1
graduate,1,3,30,3,9,1,1
graduate,0,0,0,3,1,1,1
graduate,1,1,15,2,6,1,1
graduate,1,3,30,3,6,1,1
graduate,0,0,0,1,1,0,0
graduate,0,0,0,3,1,0,1
graduate,1,2,0,5,6,1,1
graduate,0,0,15,5,1,0,1
undergraduate,0,0,0,1,3,1,1
undergraduate,1,1,30,3,6,0,1
undergraduate,1,5,30,3,9,1,1
undergraduate,0,0,0,2,3,1,1
undergraduate,1,1,0,5,3,0,1
undergraduate,0,0,15,3,6,1,1
undergraduate,0,0,15,1,3,1,1
undergraduate,1,5,15,3,12,0,1
undergraduate,1,1,15,2,3,1,1
undergraduate,0,0,5,3,6,1,1
undergraduate,1,3,0,2,3,1,1
undergraduate,1,2,15,2,3,1,1
undergraduate,0,0,0,5,1,1,1
undergraduate,0,0,5,5,3,1,1
working,1,1,15,3,6,1,1
working,1,1,15,1,3,1,1
working,1,3,30,3,6,1,1
working,0,0,15,2,3,1,1
working,1,1,30,3,9,1,1
working,1,1,30,3,9,1,1
